id,name,description,state,latitude,longitude,category_guess
loc001,Al Capone's Grave,"""Buried in a family plot at Mt. Caramel Cemetery in Hillside, Illinois, lies one of America's most infamous gangsters, Al Capone.""",IL,41.851089,-87.90397,cryptid
loc002,Resurrection Mary Cemetery,"A phantom hitchhiker said to vanish near Resurrection Cemetery, often spotted along Archer Avenue late at night.",IL,41.763889,-87.768611,ghost
loc003,Bachelor's Grove Cemetery,"An abandoned cemetery known for apparitions, floating lights, and ghostly figures captured in photographs.",IL,41.651667,-87.881944,ghost
loc004,St. James at Sag Bridge,"A historic church rumored to be a portal to hell, with strange lights and unexplained sounds reported by visitors.",IL,41.682222,-87.904444,urban_legend
loc005,The Bell Witch Cave,"Home to one of America's most famous hauntings, involving poltergeist activity and eerie voices.",TN,36.393611,-87.536389,ghost
loc006,The Myrtles Plantation,A former plantation said to be haunted by the spirits of enslaved people and a woman named Chloe.,LA,30.837778,-91.045278,ghost
loc007,Eastern State Penitentiary,"A former prison known for violent history and reported shadow figures, echoes, and cell door sounds.",PA,39.963611,-75.172222,abandoned
loc008,The Stanley Hotel,"The inspiration for Stephen King's The Shining, with reports of music, laughter, and apparitions.",CO,40.361389,-105.521667,ghost
loc009,Winchester Mystery House,"A sprawling mansion built continuously to appease spirits, filled with staircases to nowhere.",CA,37.318333,-121.950833,urban_legend
loc010,Jerome Grand Hotel,"Once a hospital, now a hotel where guests report ghostly nurses and phantom footsteps.",AZ,34.748333,-112.113611,ghost
loc011,Trans-Allegheny Lunatic Asylum,"A massive abandoned asylum known for reported screams, shadow people, and lingering energy.",WV,39.281389,-80.344444,abandoned
loc012,The Goatman's Bridge,"A bridge said to be haunted by a half-man, half-goat entity that appears after dark.",TX,33.285556,-97.010833,cryptid
loc013,Sloss Furnaces,An abandoned ironworks with reports of ghostly workers and unexplained accidents.,AL,33.518611,-86.812222,abandoned
loc014,The Queen Mary,A retired ocean liner rumored to house spirits of former passengers and crew.,CA,33.752778,-118.189167,ghost
loc015,Bellamy Bridge,An old bridge where a bride is said to search endlessly for her lost groom.,FL,30.884444,-85.595278,ghost
loc016,The Lizzie Borden House,"The site of infamous axe murders, now a bed and breakfast with paranormal reports.",MA,41.682778,-71.156389,urban_legend
loc017,Hoia Baciu Forest,"A forest known for UFO sightings, electronic malfunctions, and disappearances.",IL,41.85,-87.65,urban_legend
loc018,The Whaley House,A historic home with sightings of former residents and unexplained noises.,CA,32.752222,-117.196944,ghost
loc019,Devil's Tramping Ground,"A barren circle where nothing grows, said to be where the devil walks at night.",NC,35.650278,-79.420833,urban_legend
loc020,The Sallie House,A house associated with violent paranormal activity believed to involve a spirit named Sallie.,KS,39.563889,-95.121389,ghost
loc021,LaLaurie Mansion,A historic mansion infamous for cruelty and ghost sightings tied to its dark past.,LA,29.958611,-90.064722,ghost
loc022,Gettysburg Battlefield,"The site of one of the bloodiest battles of the Civil War, known for apparitions of soldiers and phantom gunfire.",PA,39.830929,-77.231095,ghost
